graph,n,prc,phase_length,delay,initial_positions,converged,steps_to_converge,repeated,steps_to_repeat
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,73.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,27.0
dumbbell,2,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,33.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,93.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,33.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,69.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,66.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,66.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,35.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,69.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,22.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,35.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,93.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,93.0
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,93.0
dumbbell,2,x,10,0,constrained_first_half,1,8.0,0,
dumbbell,2,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,2,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,73.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,1,8.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,66.0
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,33.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,66.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,23.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,69.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,102.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,2,x,10,0,constrained_first_half,1,9.0,0,
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,93.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,66.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,66.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,22.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,22.0
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,35.0
dumbbell,2,x,10,0,constrained_first_half,1,8.0,0,
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,69.0
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,2,x,10,0,constrained_first_half,1,8.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,93.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,2,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,16.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,23.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,2,x,10,0,constrained_first_half,1,9.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,33.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,66.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,2,x,10,0,constrained_first_half,1,8.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,102.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,22.0
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,35.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,33.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,22.0
dumbbell,2,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,2,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,102.0
dumbbell,2,x,10,0,constrained_first_half,0,,1,18.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,69.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,70.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,35.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,102.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,3,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,3,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,35.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,35.0
dumbbell,3,x,10,0,constrained_first_half,1,8.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,3,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,3,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,3,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,26.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,35.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,3,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,3,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,3,x,10,0,constrained_first_half,0,,1,66.0
dumbbell,3,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,8.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,33.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,3,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,102.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,92.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,66.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,73.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,4,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,4,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,35.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,26.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,69.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,26.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,4,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,4,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,4,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,26.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,26.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,35.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,73.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,26.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,7.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,26.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,24.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,26.0
dumbbell,5,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,5,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,32.0
dumbbell,5,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,6,x,10,0,constrained_first_half,0,,1,31.0
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,6,x,10,0,constrained_first_half,0,,1,68.0
dumbbell,6,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,6,x,10,0,constrained_first_half,0,,1,25.0
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,6,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,6,x,10,0,constrained_first_half,0,,1,34.0
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
dumbbell,6,x,10,0,constrained_first_half,1,6.0,0,
