graph,n,prc,phase_length,delay,initial_positions,lambda2,converged,steps_to_converge,repeated,steps_to_repeat
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,7,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,9.999999999999995,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.3431457505076217,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.255437353461971,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,26,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,16,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
dumbbell,10,x,10,5,constrained_first_half,0.1690481051546998,1,6,0,
